#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
129,Jordan Wicks,CHC,22,24,113.1,7,6,7,0,0,112,55,16,95,38,7.57,3.05,2.48,1.25,0.255,1.33,0.292,70.40%,4.4,4.5,455.6,2.47,1.26,0.6
130,Jhoan Duran,MIN,0,61,64,4,3,0,33,2,50,20,5,86,22,12.02,3.15,3.81,0.72,0.212,1.13,0.31,77.70%,2.81,2.83,51.4,2.32,0.24,2.06
131,Anthony DeSclafani,MIN,20,29,115.2,6,7,7,0,0,119,59,17,94,30,7.3,2.32,3.15,1.34,0.261,1.28,0.296,68.30%,4.55,4.46,565.6,2.06,2.28,0.63
132,Mike Clevinger,,19,20,105.1,6,7,6,0,0,104,55,17,90,34,7.65,2.87,2.67,1.43,0.254,1.31,0.288,68.60%,4.66,4.74,460.4,3.23,-0.31,0.67
133,Pete Fairbanks,TBR,0,54,53.2,3,3,0,29,3,39,17,5,74,21,12.48,3.46,3.61,0.77,0.199,1.11,0.296,76.90%,2.87,2.88,89.2,2.59,-0.32,1.93
134,Jose Alvarado,PHI,0,63,63.1,3,3,0,23,7,49,22,5,86,30,12.31,4.23,2.91,0.73,0.21,1.24,0.311,77.00%,3.09,3.1,160,2.67,-0.19,1.59
135,Cal Quantrill,COL,26,26,147.2,7,10,8,0,0,169,88,24,92,48,5.64,2.93,1.92,1.46,0.284,1.47,0.302,66.20%,5.36,5.26,715.1,8.13,-0.04,2.53
136,Kyle Freeland,COL,28,28,159.1,7,11,10,0,0,190,96,28,104,48,5.87,2.69,2.18,1.58,0.291,1.49,0.31,67.20%,5.41,5.26,701.7,5.52,-0.39,2.96
137,John Means,BAL,19,22,107.2,6,6,7,0,0,102,50,18,85,25,7.08,2.08,3.4,1.49,0.247,1.18,0.27,71.10%,4.19,4.64,351.4,4.23,0.58,0.57
138,Reynaldo Lopez,ATL,8,46,80,5,4,2,3,7,71,34,10,90,29,10.07,3.22,3.13,1.17,0.233,1.24,0.296,73.40%,3.84,3.88,406.2,1.51,0.3,0.34
139,David Bednar,PIT,0,59,61,3,3,0,29,2,51,22,6,73,20,10.73,2.94,3.64,0.87,0.225,1.17,0.303,75.20%,3.24,3.22,70.1,1.91,-0.91,1.92
140,Emmanuel Clase,CLE,0,65,66,4,4,0,34,1,58,22,5,65,15,8.8,2.06,4.27,0.63,0.232,1.11,0.296,73.90%,3,2.98,54.4,1.17,0.71,2.21
141,Tanner Scott,MIA,0,65,66.1,4,3,0,27,4,52,24,5,88,29,11.89,3.9,3.05,0.68,0.213,1.22,0.309,74.80%,3.2,3.07,99.3,2.85,-0.78,1.67
142,Jhony Brito,SDP,17,34,106.2,7,7,5,0,1,104,50,15,85,33,7.17,2.75,2.61,1.24,0.252,1.28,0.285,71.20%,4.2,4.5,509.8,4.2,-0.23,0.35
143,Erick Fedde,CHW,25,25,138.1,7,10,7,0,0,141,76,22,113,48,7.34,3.11,2.36,1.45,0.26,1.37,0.291,67.60%,4.92,4.85,350.2,9.71,0.6,1.59
144,Bryce Elder,ATL,20,28,117,8,5,8,0,0,117,57,15,91,43,7.03,3.3,2.13,1.13,0.256,1.37,0.292,70.20%,4.39,4.57,425.5,3.08,-0.01,0.87
145,Ryan Feltner,COL,19,19,98.1,5,7,5,0,0,104,59,15,83,43,7.57,3.96,1.91,1.38,0.266,1.49,0.304,65.60%,5.42,5.03,744.3,3.46,0.58,1.49
146,Austin Gomber,COL,26,26,140,7,10,9,0,0,160,85,26,98,45,6.27,2.89,2.17,1.64,0.282,1.46,0.303,66.60%,5.45,5.29,742.7,5.22,-0.44,2.51
147,Ross Stripling,OAK,21,29,122.2,5,7,6,0,1,125,59,19,98,28,7.17,2.08,3.45,1.4,0.261,1.25,0.292,70.30%,4.35,4.47,537.6,2.56,1,0.41
148,Robert Gasser,MIL,15,21,84.2,5,4,4,0,1,81,42,12,82,31,8.69,3.33,2.61,1.27,0.249,1.33,0.298,69.70%,4.48,4.46,999,2.9,-0.48,0.23
149,James Paxton,LAD,14,18,77.1,6,4,5,0,0,72,37,12,81,27,9.43,3.2,2.95,1.43,0.244,1.29,0.295,72.40%,4.28,4.38,308.5,6.1,1.08,0.16
150,A.J. Minter,ATL,0,63,61,4,3,0,5,17,52,23,6,76,20,11.17,2.96,3.77,0.94,0.226,1.18,0.31,73.70%,3.46,3.2,443,1.84,-1.54,0.83
151,Matt Manning,DET,21,23,109,6,7,6,0,0,108,55,15,80,35,6.59,2.91,2.26,1.28,0.254,1.31,0.281,68.50%,4.55,4.73,424.2,3.12,0.35,0.54
152,Emmet Sheehan,LAD,16,30,95.2,6,4,5,0,0,80,46,15,105,41,9.91,3.86,2.56,1.41,0.224,1.26,0.274,70.50%,4.36,4.5,281.2,2.24,-0.66,0.32
