#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
481,Andre Lipcius,,11,34,31,7,1,0,1,3,3,3,7,0,0,0,8.80%,20.00%,0.144,0.279,0.239,0.31,0.383,0.693,0.304,90,999,0.6,0.81,2.03
482,Ryan McKenna,BAL,24,72,65,14,3,0,2,9,7,6,23,1,2,0,7.80%,32.20%,0.134,0.314,0.223,0.29,0.357,0.647,0.284,80,999,2.17,0.12,1.84
483,Justyn-Henry Malloy,DET,16,61,52,12,2,0,2,7,6,8,17,1,0,0,12.60%,27.10%,0.152,0.31,0.237,0.342,0.389,0.731,0.325,106,999,4.03,1.39,1.89
484,Connor Norby,BAL,11,32,29,7,1,0,1,3,3,2,8,0,0,0,6.40%,24.00%,0.14,0.3,0.243,0.299,0.383,0.682,0.298,90,999,1.58,1.09,2.04
485,Franchy Cordero,,27,82,74,17,3,0,3,10,10,7,26,1,1,0,8.40%,32.10%,0.177,0.302,0.225,0.295,0.402,0.697,0.302,89,999,0.43,1.57,1.75
486,Vidal Brujan,MIA,42,144,130,29,6,1,2,17,13,11,30,2,7,3,7.50%,20.80%,0.116,0.269,0.222,0.287,0.338,0.625,0.276,70,676.3,4.61,-0.67,1.67
487,Kyren Paris,,16,59,52,11,3,0,1,7,5,6,19,0,3,0,10.70%,32.90%,0.11,0.324,0.215,0.305,0.325,0.631,0.284,76,748.8,3.76,2.03,1.94
488,Cesar Salazar,HOU,10,29,26,5,1,0,0,3,3,2,7,1,0,0,6.80%,22.80%,0.077,0.271,0.21,0.288,0.287,0.574,0.261,63,999,1.98,0.82,2.02
489,Ronny Mauricio,NYM,7,30,28,7,1,0,1,4,3,2,7,0,1,0,5.40%,23.50%,0.154,0.299,0.249,0.293,0.404,0.697,0.301,88,999,1.89,0.25,2.06
490,Matt Duffy,TEX,55,162,148,37,6,0,1,15,13,11,31,2,1,1,6.60%,19.40%,0.068,0.311,0.252,0.31,0.321,0.63,0.282,74,999,2.88,0.95,1.68
491,Ryan Bliss,SEA,18,72,67,15,3,0,2,8,7,5,18,0,4,1,6.30%,25.00%,0.119,0.283,0.223,0.277,0.342,0.619,0.272,74,999,3.21,0.11,1.9
492,Carlos Perez,,17,48,44,10,2,0,1,4,5,3,8,0,0,0,5.30%,16.10%,0.119,0.243,0.221,0.268,0.34,0.608,0.266,70,999,0.71,2.06,1.95
493,Jordan Groshans,,11,37,34,8,2,0,1,4,4,3,7,0,0,0,8.40%,19.80%,0.128,0.284,0.241,0.307,0.368,0.676,0.297,86,999,0.42,2.15,2.01
494,Mark Mathias,CIN,14,39,34,8,2,0,1,4,4,4,10,0,1,0,10.20%,26.70%,0.141,0.301,0.231,0.317,0.372,0.689,0.305,84,999,0.95,0.62,2.01
495,Kyle Stowers,BAL,24,85,76,17,3,0,3,9,10,8,27,1,0,0,9.10%,31.60%,0.167,0.298,0.222,0.3,0.389,0.689,0.301,92,729.4,2.22,0.75,1.74
496,Kyle Lewis,,18,69,61,14,3,0,2,8,8,6,20,1,0,0,9.20%,28.80%,0.165,0.293,0.229,0.306,0.395,0.701,0.307,92,999,2.76,-0.97,1.83
497,Dominic Smith,,37,140,127,33,7,0,3,16,16,11,26,2,0,0,7.60%,18.40%,0.127,0.3,0.257,0.32,0.384,0.704,0.308,93,734,5.2,0.07,1.63
